Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
SGP,2005-06-01,2005-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2005,2005,,72.188874,X,base year is 2015
SGP,2006-06-01,2006-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2006,2006,,73.754735,X,base year is 2015
SGP,2007-06-01,2007-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2007,2007,,75.742052,X,base year is 2015
SGP,2008-06-01,2008-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2008,2008,,84.413210,X,base year is 2015
SGP,2009-06-01,2009-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2009,2009,,86.104340,X,base year is 2015
SGP,2010-06-01,2010-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2010,2010,,88.015222,X,base year is 2015
SGP,2011-06-01,2011-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2011,2011,,91.310432,X,base year is 2015
SGP,2012-06-01,2012-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2012,2012,,93.416649,X,base year is 2015
SGP,2013-06-01,2013-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2013,2013,,95.554713,X,base year is 2015
SGP,2014-06-01,2014-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2014,2014,,98.473055,X,base year is 2015
